,Labels,path
0, ہوٹل کا عملہ نہایت دوستانہ ہے عملہ نے,textbox_1_line_1_.png
1,میری بہت مدد کی میں یہاں ضرور واپس آؤں گا,textbox_1_line_2_.png
2,ہوٹل کی فضا خوشگوار ہے ہوٹل کا ماحول,textbox_2_line_1_.png
3,خوشگوار ہے ہوٹل کا عملہ دوستانہ ہے,textbox_2_line_2_.png
4,ہوٹل کا سٹاف اور عملہ نہایت اچھا اور دوستانہ,textbox_3_line_1_.png
5,ہے ہوٹل کے کمرے صاف اور کھانا مزے کا ہے,textbox_3_line_2_.png
6,ہوٹل کی کھڑکی نہیں کھلتی ہوٹل میں اچھے بیڈ,textbox_4_line_1_.png
7,نہیں ہوٹل کا رینٹ بہت زیادہ ہے,textbox_4_line_2_.png
8,ہوٹل کے کمرے کے آدھے بلب چلتے ہیں,textbox_5_line_2_.png
9,کمرے کا پنکھا بہت گرد آلود تھا,textbox_5_line_3_.png
10,ہوٹل کے باتھ روم گندے تھے ہوٹل کی صفائی,textbox_6_line_1_.png
11,کا خیال نہیں رکھا گیا تھا میں دوبارہ نہیں آؤں گا,textbox_6_line_2_.png
12,ہوٹل کی چائے کا ذائقہ عجیب تھا چائے گرم نہیں تھی,textbox_7_line_2_.png
13,ہوٹل کا رینٹ مناسب ہے ہوٹل ٹھیک ہے,textbox_7_line_3_.png
14,کل ذات کافی شور ہوتا رہا میں نے شکایت بھی کی,textbox_8_line_1_.png
15,لیکن کوئی سٹاف کمرے میں نہ آیا اور مدد نہ کی,textbox_8_line_2_.png
16,ہوٹل کے کمرے میں کوڑا پڑا ہوا تھا کمرے میں,textbox_9_line_1_.png
17,سے بدبو آرہی تھی بیڈ پہ کچرا پڑا ہوا تھا,textbox_9_line_2_.png
18,میں نے دو دن پہلے کمرہ بک کروایا تھا پھر بھی ہوٹل,textbox_10_line_1_.png
19,جا کر آدھا گھنٹا انتظار کرنا پڑا ,textbox_10_line_2_.png
20,ہوٹل سٹاف دوستانہ ہے ہوٹل کے کمرے کی,textbox_11_line_1_.png
21,کھڑکی روشن اور بڑی ہے میں دوبارہ آؤں گا,textbox_11_line_2_.png
22,ہوٹل کا عملہ غیر موجود ہے ہوٹل میں کوئی بات,textbox_12_line_2_.png
23,سننے والا نہیں ہے ہوٹل کی سروس بہت بری ہے,textbox_12_line_3_.png
24,ہوٹل مینیجر کا سلوک بہترین تھا صبح کا ناشتہ مفت,textbox_13_line_1_.png
25,تھا میں اس ہوٹل میں دوبارہ ضرور آؤں گا,textbox_13_line_2_.png
26,ہوٹل کا عملہ غیر حاضر تھا ہوٹل کے برتن,textbox_14_line_1_.png
